species,T_water_C,ceiling_label,scope_factor,kleiber_bmr_W,C_ceiling_W,q_loss_defended_W,q_met_defended_W,q_perf_defended_W,core_defended_C,deep_body_defended_C,status,Ta_emergent_C,core_emergent_C,deep_body_emergent_C,q_loss_emergent_W,core_below_guard,n_solver_evals,setpoint_C,core_min_guard_C
minke,0.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,5435.030987255753,3118.0000000000005,2316.7494961731045,34.7431220177794,35.22590594919723,holds,35.0,34.7431220177794,35.22590594919723,5435.030987255753,False,0,35.0,28.0
minke,5.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,4972.205914091874,3118.0000000000005,1854.1750399529376,34.86922079294544,35.2256058258871,core_falls,23.75,23.814192141847286,23.976648531958347,3142.6508799439707,True,3,35.0,28.0
minke,5.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,4972.205914091874,3118.0000000000005,1854.1750399529376,34.86922079294544,35.2256058258871,holds,35.0,34.86922079294544,35.2256058258871,4972.205914091874,False,0,35.0,28.0
minke,10.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,4912.991911127632,3118.0000000000005,1794.981724523838,34.99026037016523,35.22210066334708,core_falls,25.625,25.73786451845939,25.847281032943613,3099.785864292573,True,3,35.0,28.0
minke,10.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,4912.991911127632,3118.0000000000005,1794.981724523838,34.99026037016523,35.22210066334708,holds,35.0,34.99026037016523,35.22210066334708,4912.991911127632,False,0,35.0,28.0
minke,15.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,4418.203795780366,3118.0000000000005,1300.195691362377,35.06276847971344,35.218710719684566,core_falls,29.0625,29.191262319983082,29.28126168676232,3127.3391155113977,False,6,35.0,28.0
minke,15.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,4418.203795780366,3118.0000000000005,1300.195691362377,35.06276847971344,35.218710719684566,holds,35.0,35.06276847971344,35.218710719684566,4418.203795780366,False,0,35.0,28.0
minke,20.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,3414.3500664827634,3118.0000000000005,296.3436939534362,35.11780336280077,35.21772210780426,core_falls,33.59375,33.726671072415286,33.81157971729192,3100.6803732147528,False,5,35.0,28.0
minke,20.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,3414.3500664827634,3118.0000000000005,296.3436939534362,35.11780336280077,35.21772210780426,holds,35.0,35.11780336280077,35.21772210780426,3414.3500664827634,False,0,35.0,28.0
minke,25.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,2307.2964433362204,3118.0000000000005,-810.708873886245,35.171217621004075,35.217554395441994,holds,35.0,35.171217621004075,35.217554395441994,2307.2964433362204,False,0,35.0,28.0
minke,25.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,2307.2964433362204,3118.0000000000005,-810.708873886245,35.171217621004075,35.217554395441994,holds,35.0,35.171217621004075,35.217554395441994,2307.2964433362204,False,0,35.0,28.0
minke,28.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,1636.236897107654,3118.0000000000005,-1481.7675717316768,35.203259253686156,35.21749285556416,holds,35.0,35.203259253686156,35.21749285556416,1636.236897107654,False,0,35.0,28.0
minke,28.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,1636.236897107654,3118.0000000000005,-1481.7675717316768,35.203259253686156,35.21749285556416,holds,35.0,35.203259253686156,35.21749285556416,1636.236897107654,False,0,35.0,28.0
minke,30.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,1188.3621386558918,3118.0000000000005,-1929.641855039214,35.22462956300831,35.217600580081466,holds,35.0,35.22462956300831,35.217600580081466,1188.3621386558918,False,0,35.0,28.0
minke,30.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,1188.3621386558918,3118.0000000000005,-1929.641855039214,35.22462956300831,35.217600580081466,holds,35.0,35.22462956300831,35.217600580081466,1188.3621386558918,False,0,35.0,28.0
