species,category,parameter,value,units,source_reference,notes
bowhead,blubber_thickness,Rostrum,0.15,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,LeftPectoralFlipper,0.0749,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,RightPectoralFlipper,0.0749,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,Fluke,0.0875,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,convection_base,Body,8.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Peduncle,15.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Rostrum,50.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Fluke,140.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,LeftPectoralFlipper,160.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,RightPectoralFlipper,160.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,LeftPectoralFlipper.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,LeftPectoralFlipper.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,RightPectoralFlipper.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,RightPectoralFlipper.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Fluke.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Fluke.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Rostrum.min,0.8,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Rostrum.max,1.3,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Body.min,0.7,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Body.max,1.3,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,LeftPectoralFlipper.min,0.05,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,LeftPectoralFlipper.max,3.0,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,RightPectoralFlipper.min,0.05,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,RightPectoralFlipper.max,3.0,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Fluke.min,0.05,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Fluke.max,3.0,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Rostrum.min,0.2,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Rostrum.max,1.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,thermoregulatory_regions,region,Body,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,thermoregulatory_regions,region,LeftPectoralFlipper,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,thermoregulatory_regions,region,RightPectoralFlipper,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,thermoregulatory_regions,region,Fluke,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,thermoregulatory_regions,region,Rostrum,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_0.water_temp_C,-2.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_0.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_1.water_temp_C,0.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_1.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_2.water_temp_C,5.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_2.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_3.water_temp_C,10.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_3.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_4.water_temp_C,15.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_4.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_5.water_temp_C,20.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_5.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_6.water_temp_C,25.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_6.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_7.water_temp_C,28.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_7.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_8.water_temp_C,30.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,default_cases,case_8.mode,active,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
humpback,identity,species,humpback,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,identity,common_name,Humpback Whale,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,identity,scientific_name,Megaptera novaeangliae,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,physiology,core_temperature_C,36.8,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,physiology,core_temperature_min_C,34.7,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,physiology,core_temperature_max_C,37.3,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,physiology,thermoneutral_water_C,25.0,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,scaling,metabolic_scale,0.004,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,scaling,perfusion_scale,0.1,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,scaling,transition_fraction,0.15,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,scaling,region_blend_iterations,150,count,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,scaling,region_blend_alpha,0.5,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,solver,dt_seconds,300,s,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,solver,total_hours,24,h,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,solver,steady_eps,0.001,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,mesh,surface_obj,assets/meshes/humpback_surface.obj,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,mesh,volume_mesh,assets/meshes/humpback_variable_blubber.vtu,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,mesh,volume_raw,assets/meshes/humpback_volume_full_gmsh.vtk,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,mesh,element_size,0.15,m,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,data,vertex_groups,data/humpback/vertex_groups.json,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,data,surface_mesh,data/humpback/surface_mesh.json,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,data,surface_regions,data/humpback/surface_regions.json,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,data,tissue_info,data/humpback/tissue_info_variable.json,path,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,blubber_thickness,Body,0.06,m,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
