species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
fin_whale,37932.8731892081,35.86281038852064,36.949775297374,-2.2509417831183782,1,315.0,0.2,0.2,0.8,0.8,0.4,0.0,0.6,0.0,0.89,0.76,1.35,0.9,0.7989999999999999,0.3,9.0,5106.5,morris,44,4,8
fin_whale,44378.49868729935,35.916543916126045,38.57606412013911,-2.008141936297477,1,308.9,0.2,0.6,0.8,0.8,0.2,0.6,0.4,0.4,0.89,0.88,1.35,0.9,0.697,0.6,7.0,6857.299999999999,morris,45,5,0
fin_whale,43275.83200423648,35.90620652740654,38.56885899234891,-2.0069282656083374,1,310.1,0.2,0.6,0.8,0.8,0.2,0.6,1.0,0.4,0.89,0.88,1.35,0.9,0.697,0.6,13.0,6857.299999999999,morris,46,5,1
fin_whale,47010.16495694338,35.88303768644499,38.25031685062555,-2.0099813602170116,1,315.2,0.8,0.6,0.8,0.8,0.2,0.6,1.0,0.4,1.1600000000000001,0.88,1.35,0.9,0.697,0.6,13.0,6857.299999999999,morris,47,5,2
fin_whale,43831.487362586435,35.8352082211253,38.44916184584696,-2.0099813602173526,1,173.2,0.8,0.6,0.8,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.88,1.35,0.6,0.697,0.6,13.0,6857.299999999999,morris,48,5,3
fin_whale,46990.11683022775,35.80389826043893,37.98602790320973,-2.0128989316057186,1,193.7,0.8,0.0,0.8,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.7,1.35,0.6,0.697,0.6,13.0,6857.299999999999,morris,49,5,4
fin_whale,44057.88341281656,35.82436499698184,37.67565262892742,-2.027771172407597,1,233.7,0.8,0.0,0.2,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.7,0.9,0.6,0.697,0.6,13.0,6857.299999999999,morris,50,5,5
fin_whale,43909.95590533512,35.84076735283901,37.67565264894341,-2.0277711723925904,1,369.8,0.8,0.0,0.2,0.2,0.8,0.6,1.0,0.4,1.1600000000000001,0.7,0.9,0.6,0.98,0.6,13.0,6857.299999999999,morris,51,5,6
fin_whale,43956.78822565363,35.86754983530017,37.764041304033015,-2.0277711723911125,1,389.7,0.8,0.0,0.2,0.2,0.8,0.6,1.0,1.0,1.1600000000000001,0.7,0.9,0.6,0.98,0.6,13.0,9483.5,morris,52,5,7
fin_whale,37005.3157668259,35.82663377644292,37.23623609598144,-2.558286958620215,1,387.2,0.8,0.0,0.2,0.2,0.8,0.0,1.0,1.0,1.1600000000000001,0.7,0.9,0.6,0.98,0.3,13.0,9483.5,morris,53,5,8
fin_whale,37104.448382795046,35.90526000902605,38.09224020706159,-2.0239939690538904,1,339.8,0.4,0.6,0.2,0.0,0.8,0.2,0.0,0.8,0.98,0.88,0.9,0.5,0.98,0.4,3.0,8608.1,morris,54,6,0
fin_whale,33910.14556646245,35.868344593603524,37.83078982443482,-2.2700394771931656,1,357.5,0.4,0.6,0.2,0.0,0.8,0.2,0.6,0.8,0.98,0.88,0.9,0.5,0.98,0.4,9.0,8608.1,morris,55,6,1
fin_whale,33863.41024572916,35.83645677541779,37.715940511103724,-2.266911073776555,1,364.0,0.4,0.6,0.2,0.0,0.8,0.2,0.6,0.2,0.98,0.88,0.9,0.5,0.98,0.4,9.0,5981.9,morris,56,6,2
fin_whale,36353.436938217215,35.80629447891164,37.13441922587464,-2.231698724432647,1,375.1,0.4,0.0,0.2,0.0,0.8,0.2,0.6,0.2,0.98,0.7,0.9,0.5,0.98,0.4,9.0,5981.9,morris,57,6,3
fin_whale,43037.55118034178,35.846594278589805,38.24092329189904,-2.0300538285892458,1,367.6,0.4,0.0,0.2,0.0,0.8,0.8,0.6,0.2,0.98,0.7,0.9,0.5,0.98,0.7,9.0,5981.9,morris,58,6,4
fin_whale,43178.669964598565,35.829746043468674,38.24092327288662,-2.030053828567361,1,366.1,0.4,0.0,0.2,0.0,0.2,0.8,0.6,0.2,0.98,0.7,0.9,0.5,0.697,0.7,9.0,5981.9,morris,59,6,5
fin_whale,46113.20696018234,35.794197787878375,37.84020424433254,-2.0366550748381087,1,376.9,1.0,0.0,0.2,0.0,0.2,0.8,0.6,0.2,1.25,0.7,0.9,0.5,0.697,0.7,9.0,5981.9,morris,60,6,6
fin_whale,49352.43242190077,35.77023725707704,38.200904951501116,-2.017333636190699,1,341.7,1.0,0.0,0.8,0.0,0.2,0.8,0.6,0.2,1.25,0.7,1.35,0.5,0.697,0.7,9.0,5981.9,morris,61,6,7
fin_whale,53596.56697147472,35.84214805938291,38.04616881774933,-2.0173336361926886,1,331.1,1.0,0.0,0.8,0.6,0.2,0.8,0.6,0.2,1.25,0.7,1.35,0.8,0.697,0.7,9.0,5981.9,morris,62,6,8
fin_whale,34081.6792455151,35.9185297251899,38.14887064537703,-2.0059614244590307,1,257.4,0.0,1.0,0.6,0.4,0.0,0.0,0.0,0.6,0.8,1.0,1.2,0.7,0.595,0.3,3.0,7732.700000000001,morris,63,7,0
fin_whale,33896.423932489866,35.93070035107809,38.14886916470704,-2.2392057502914327,1,258.2,0.0,1.0,0.6,0.4,0.6,0.0,0.0,0.6,0.8,1.0,1.2,0.7,0.901,0.3,3.0,7732.700000000001,morris,64,7,1
