species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
humpback,24320.015511086953,35.54810981741548,36.462258721839135,-2.42025253557091,1,101.4,0.2,1.0,0.6,0.6,0.2,0.2,0.2,0.2,0.89,1.0,1.2,0.8,0.697,0.4,22.0,3168.48,morris,35,3,8
humpback,26638.796027941484,35.56900899457008,36.9845946281539,-2.199319617159233,1,107.3,0.8,0.8,0.2,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.94,0.9,0.6,0.98,0.6,20.0,4095.84,morris,36,4,0
humpback,28381.1814289619,35.54177605180479,36.98113109267865,-2.312637049965474,1,103.6,0.8,0.8,0.8,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.94,1.35,0.6,0.98,0.6,20.0,4095.84,morris,37,4,1
humpback,29715.255054729612,35.495900996477985,36.967374420022736,-2.319589235333069,1,105.6,0.8,0.2,0.8,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,20.0,4095.84,morris,38,4,2
humpback,29709.4146291846,35.4957348498516,36.96820390527279,-2.319843384046351,1,105.6,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.6,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,26.0,4095.84,morris,39,4,3
humpback,29662.500367895278,35.45541521803034,36.60250086721243,-2.3185504199357183,1,105.1,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.0,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,26.0,2704.7999999999997,morris,40,4,4
humpback,32249.521938225393,35.554084602563194,36.420996412063346,-2.5092208638870943,1,104.3,0.8,0.2,0.8,0.8,1.0,0.6,0.6,0.0,1.1600000000000001,0.76,1.35,0.9,0.98,0.6,26.0,2704.7999999999997,morris,41,4,5
humpback,26492.78126290476,35.505825908473184,36.4209964120617,-2.887122911995675,1,104.7,0.8,0.2,0.8,0.8,1.0,0.0,0.6,0.0,1.1600000000000001,0.76,1.35,0.9,0.98,0.3,26.0,2704.7999999999997,morris,42,4,6
humpback,26753.177897134265,35.47186023057509,36.420996412062664,-2.726314264196162,1,104.9,0.8,0.2,0.8,0.8,0.4,0.0,0.6,0.0,1.1600000000000001,0.76,1.35,0.9,0.7989999999999999,0.3,26.0,2704.7999999999997,morris,43,4,7
humpback,24931.11973466902,35.51887000224605,36.432465196769044,-2.7259150280253834,1,102.1,0.2,0.2,0.8,0.8,0.4,0.0,0.6,0.0,0.89,0.76,1.35,0.9,0.7989999999999999,0.3,26.0,2704.7999999999997,morris,44,4,8
humpback,29866.769700550285,35.590626288107444,36.61376871905668,-2.231551814762497,1,100.0,0.2,0.6,0.8,0.8,0.2,0.6,0.4,0.4,0.89,0.88,1.35,0.9,0.697,0.6,24.0,3632.16,morris,45,5,0
humpback,29865.577192857105,35.590592191094345,36.61366357474827,-2.2316426163374103,1,100.4,0.2,0.6,0.8,0.8,0.2,0.6,1.0,0.4,0.89,0.88,1.35,0.9,0.697,0.6,30.0,3632.16,morris,46,5,1
humpback,31591.720810643787,35.54959048308717,36.448641560968554,-2.2461009698997714,1,102.5,0.8,0.6,0.8,0.8,0.2,0.6,1.0,0.4,1.1600000000000001,0.88,1.35,0.9,0.697,0.6,30.0,3632.16,morris,47,5,2
humpback,29103.767254775557,35.45275021376369,36.50579092740276,-2.0850486142161913,1,89.1,0.8,0.6,0.8,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.88,1.35,0.6,0.697,0.6,30.0,3632.16,morris,48,5,3
