species,common_name,variant,parameter_group,parameter_level,description,T_water_C,mode,thermoneutral_C,cche_saturation_C,appendage_perfusion_max,h_scale,cche_max_delta,blubber_k_scale,body_condition_index,core_temp_C,T_min_C,T_max_C,Q_loss_W,maintenance_Mcal_day,TES,thermal_window_fraction,R_spec_m2K_W,FAmin_uncapped,alive,death_cause,energy_balance,delta_core_C,delta_TES,delta_Q_loss_W,delta_Q_loss_pct,delta_Mcal_day,delta_Mcal_day_pct
humpback,Humpback Whale,lambda_15,lambda,15 C,Slow CCHE saturation,10.0,active,25.0,15.0,0.5,1.0,0.0,1.0,1.0,35.81427986599732,10.165000836965362,36.47558550315233,20449.65557839576,422.28734272786653,-0.8227801185185508,0.49189331701225825,0.15979593750837265,5.292353928156253,True,,"{""deep_body_C"": 36.04941905643415, ""interface_C"": 35.067549282312086, ""q_balance_resid_frac"": 4.336665738878818e-06, ""q_loss_W"": 20449.65557839576, ""q_loss_over_q_met"": 5.292353928156253, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 16585.56689507504, ""q_perf_over_q_met"": 4.292330976986294, ""skin_C"": 13.074874593073503}",0.05944469033738642,0.07236803267343805,2638.493034189458,14.813704763183575,54.48513340200026,14.81370476318357
humpback,Humpback Whale,lambda_15,lambda,15 C,Slow CCHE saturation,30.0,active,25.0,15.0,0.5,1.0,0.0,1.0,1.0,36.01779323513824,30.05012230739868,36.31505306989345,6958.713923000171,143.69810777897106,-0.48703903064963255,0.6025353506346756,0.11200932511279345,1.8009094003623631,True,,"{""deep_body_C"": 36.07256877380826, ""interface_C"": 35.88795621868769, ""q_balance_resid_frac"": 6.431410502538184e-07, ""q_loss_W"": 6958.71392300017, ""q_loss_over_q_met"": 1.800909400362363, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3094.7094475655895, ""q_perf_over_q_met"": 0.8009082421235998, ""skin_C"": 31.091274392369655}",-0.0010604116027934651,-0.13641628085006086,-701.9353892367617,-9.162870673579945,-14.495032894372883,-9.162870673579935
humpback,Humpback Whale,cche_low,CCHE effectiveness,max -0.10,Lower cold-water CCHE effectiveness,-2.0,active,25.0,5.0,0.5,1.0,-0.1,1.0,1.0,35.71255178424491,-1.687212708445884,36.78229149259306,30932.272315932052,638.7543805202031,-0.793946309738085,0.49760401095361684,0.15474898174121934,8.005246458574547,True,,"{""deep_body_C"": 36.04293273259111, ""interface_C"": 34.57732899965538, ""q_balance_resid_frac"": 3.7040715070102486e-06, ""q_loss_W"": 30932.272315932052, ""q_loss_over_q_met"": 8.005246458574547, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 27068.15774058352, ""q_perf_over_q_met"": 7.0052168065692335, ""skin_C"": 2.6566085885183384}",0.11340996657287405,0.10272212053567154,5037.6058921779695,19.454221999773658,104.02704328015693,19.454221999773658
humpback,Humpback Whale,cche_low,CCHE effectiveness,max -0.10,Lower cold-water CCHE effectiveness,10.0,active,25.0,5.0,0.5,1.0,-0.1,1.0,1.0,35.825543130360245,10.214287075184359,36.60152573042524,21236.225765366074,438.5300922867181,-0.7926779334513373,0.49860886034409196,0.15460921360938393,5.495917641140289,True,,"{""deep_body_C"": 36.0494456181151, ""interface_C"": 35.06847067011114, ""q_balance_resid_frac"": 3.550187067366795e-06, ""q_loss_W"": 21236.225765366074, ""q_loss_over_q_met"": 5.495917641140289, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 17372.150372792003, ""q_perf_over_q_met"": 4.495898129604556, ""skin_C"": 13.197851139063175}",0.07070795470031044,0.10247021774065157,3425.063221159773,19.22986898052813,70.72788296085184,19.229868980528114
humpback,Humpback Whale,cche_low,CCHE effectiveness,max -0.10,Lower cold-water CCHE effectiveness,30.0,active,25.0,5.0,0.5,1.0,-0.1,1.0,1.0,36.01891482503868,30.050122507565675,36.34495226852016,7716.859490849445,159.35388623551432,-0.33837772308804276,0.6248634985346866,0.10148314678693018,1.997116845457931,True,,"{""deep_body_C"": 36.07249058806099, ""interface_C"": 35.88830567591339, ""q_balance_resid_frac"": 5.026573663208082e-07, ""q_loss_W"": 7716.859490849446, ""q_loss_over_q_met"": 1.9971168454579311, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3852.855611913178, ""q_perf_over_q_met"": 0.9971158415924374, ""skin_C"": 31.2164710727003}",6.117829764207272e-05,0.012245026711528939,56.21017861251221,0.7337521445176123,1.1607455621703764,0.733752144517582
humpback,Humpback Whale,cche_high,CCHE effectiveness,max +0.05,Higher cold-water CCHE effectiveness,-2.0,active,25.0,5.0,0.5,1.0,0.05,1.0,1.0,35.48106415648067,-2.4484779379218935,36.841551354555804,23002.81924662397,475.0104165650839,-0.9480294905415924,0.38914852858369736,0.2084114904266264,5.953110571072457,True,,"{""deep_body_C"": 36.04317564345183, ""interface_C"": 34.570480174711065, ""q_balance_resid_frac"": 0.0005095150381941318, ""q_loss_W"": 23002.81924662397, ""q_loss_over_q_met"": 5.953110571072457, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 19127.098964296954, ""q_perf_over_q_met"": 4.950077371712462, ""skin_C"": 1.2387772332455143}",-0.11807766119136431,-0.05136106026783582,-2891.847177130112,-11.167732882928044,-59.71692067496224,-11.167732882928057
humpback,Humpback Whale,cche_high,CCHE effectiveness,max +0.05,Higher cold-water CCHE effectiveness,10.0,active,25.0,5.0,0.5,1.0,0.05,1.0,1.0,35.68336839882784,9.690401534205193,36.82581339932642,15850.473415213888,327.31379136579346,-0.9463832600623148,0.39216186124490704,0.20888960077668786,4.102089393171296,True,,"{""deep_body_C"": 36.0494609234014, ""interface_C"": 35.06387903932165, ""q_balance_resid_frac"": 0.0004230112269046405, ""q_loss_W"": 15850.473415213886, ""q_loss_over_q_met"": 4.102089393171296, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 11979.768487007497, ""q_perf_over_q_met"": 3.1003541633042175, ""skin_C"": 12.235593047602435}",-0.07146677683209646,-0.051235108870325896,-1960.6891289924133,-11.008204119894438,-40.48841796007281,-11.008204119894447
humpback,Humpback Whale,cche_high,CCHE effectiveness,max +0.05,Higher cold-water CCHE effectiveness,30.0,active,25.0,5.0,0.5,1.0,0.05,1.0,1.0,36.018822570846,30.050122276352454,36.34201812032603,7632.356117362996,157.60888349430277,-0.3567452631553361,0.6230675735874808,0.1025592913440949,1.9752474423817277,True,,"{""deep_body_C"": 36.07250888307004, ""interface_C"": 35.88826211154952, ""q_balance_resid_frac"": 5.532320121528813e-07, ""q_loss_W"": 7632.356117362996, ""q_loss_over_q_met"": 1.9752474423817277, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3768.3518948992637, ""q_perf_over_q_met"": 0.9752463496116107, ""skin_C"": 31.202911968166006}",-3.107589503770214e-05,-0.006122513355764414,-28.293194873936955,-0.3693315503784007,-0.5842571790411739,-0.3693315503784186
humpback,Humpback Whale,appendage_perf_0p3,appendage perfusion,0.3 kg m-3 s-1,Lower dilated appendage AVA perfusion,-2.0,active,25.0,5.0,0.3,1.0,0.0,1.0,1.0,35.56257482413952,-2.7076379789999123,36.46831787517743,22275.66401774134,459.99459157094924,-0.8966684302737565,0.399496947002347,0.21314674061339,5.7649234000365785,True,,"{""deep_body_C"": 36.04297495910191, ""interface_C"": 34.567621098085624, ""q_balance_resid_frac"": 6.393754458041549e-05, ""q_loss_W"": 22275.664017741336, ""q_loss_over_q_met"": 5.764923400036578, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 18410.239766480143, ""q_perf_over_q_met"": 4.764554804989685, ""skin_C"": 1.1458559153712713}",-0.036566993532517245,0.0,-3619.0024060127434,-13.975860305707226,-74.73274566909691,-13.975860305707242
humpback,Humpback Whale,appendage_perf_0p3,appendage perfusion,0.3 kg m-3 s-1,Lower dilated appendage AVA perfusion,10.0,active,25.0,5.0,0.3,1.0,0.0,1.0,1.0,35.7300297345015,9.518444951146762,36.45995063798091,15321.401211347747,316.3883997754411,-0.8951481511919889,0.40154887783465715,0.21315557847210148,3.965165944965773,True,,"{""deep_body_C"": 36.049460921672505, ""interface_C"": 35.06191577715771, ""q_balance_resid_frac"": 5.709524728386727e-05, ""q_loss_W"": 15321.401211347747, ""q_loss_over_q_met"": 3.965165944965773, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 11456.52643215685, ""q_perf_over_q_met"": 2.9649395528356237, ""skin_C"": 12.16579172616315}",-0.02480544115843486,0.0,-2489.761332858554,-13.978657073501557,-51.413809550425185,-13.97865707350155
